FULL BOARD RATE FOR.F,FULL BOARD RATE FOR.,LODGE.Double,LODGE.Single,LODGE.Family,TENTS.Double,TENTS.Single,TENTS.Family
3/1/2025,31/3/2025,"26,000","19,000","52,000","35,000","26,000","70,000"
1/4/2025,30/6/2023,"22,000","16,000","44,000","31,000","23,000","62,000"
1/7/2025,10/7/2025,"36,000","26,500","36,000","45,000","33,500","90,000"
11/7/2025,31/8/2025,"40,000","29,500","80,000","49,000","36,500","98,000"
1/9/2025,30/9/2025,"36,000","26,500","72,000","45,000","33,500","90,000"
1/10/2025,22/12/2025,"26,000","19,000","52,000","35,000","26,000","70,000"
23/12/2025,2/1/2026,"38,000","28,000","76,000","47,000","35,000","94,000"
