FULL BOARD RATE FOR.F,FULL BOARD RATE FOR.,LODGE.Double,LODGE.Single,LODGE.Family,TENTS.Double,TENTS.Single,TENTS.Family
3/1/2025,31/3/2025,220,170,440,300,230,600
1/4/2025,30/6/2023,180,140,360,260,200,520
1/7/2025,10/7/2025,320,240,640,400,300,800
11/7/2025,31/8/2025,400,300,800,480,360,960
1/9/2025,30/9/2025,320,240,640,400,300,800
1/10/2025,22/12/2025,220,170,440,300,230,600
23/12/2025,2/1/2026,340,260,680,420,320,840
