,,SINGLE ROOM.B/B,SINGLE ROOM.H/B,SINGLE ROOM.F/B,DOUBLE ROOM.B/B,DOUBLE ROOM.H/B,DOUBLE ROOM.F/B,TRIPLE ROOM.B/B,TRIPLE ROOM.H/B,TRIPLE ROOM.F/B,1 AD + 1 CH SINGLE ROOM.B/B,1 AD + 1 CH SINGLE ROOM.H/B,1 AD + 1 CH SINGLE ROOM.F/B
Superior,Ksh,14000,17500,21000,20500,27500,34500,25620,36120,46620,21000,26250,31500
Junior suite,Ksh,17500,21000,24500,27000,34000,41000,33750,44250,54750,26250,31500,36750
Suite Room,Ksh,21000,24500,28000,31500,38500,45500,39370,49870,60370,31500,36750,42000
