,,SINGLE ROOM.B/B,SINGLE ROOM.H/B,SINGLE ROOM.F/B,DOUBLE ROOM.B/B,DOUBLE ROOM.H/B,DOUBLE ROOM.F/B,TRIPLE ROOM.B/B,TRIPLE ROOM.H/B,TRIPLE ROOM.F/B,SINGLE ROOM 1 AD + 1 CH.B/B,SINGLE ROOM 1 AD + 1 CH.H/B,SINGLE ROOM 1 AD + 1 CH.F/B
Superior,Ksh,17000,20500,24000,28000,35000,42000,35000,45500,56000,25500,30750,36000
Junior suite,Ksh,22200,25700,29200,33800,40800,47800,42250,52750,63250,33300,38550,43800
Suite Room,Ksh,26500,30000,33500,40300,47300,54300,50370,60870,71370,39750,45000,50250
