,,SINGLE ROOM.B/B,SINGLE ROOM.H/B,SINGLE ROOM.F/B,DOUBLE ROOM.B/B,DOUBLE ROOM.H/B,DOUBLE ROOM.F/B,TRIPLE ROOM.B/B,TRIPLE ROOM.H/B,TRIPLE ROOM.F/B,1 AD + 1 CH SINGLE ROOM.B/B,1 AD + 1 CH SINGLE ROOM.H/B,1 AD + 1 CH SINGLE ROOM.F/B
Superior,Ksh,20600,26000,31400,41300,52100,62900,51620,62120,72620,30900,36150,41400
Junior suite,Ksh,29200,34600,40000,46600,54400,68200,58250,68750,79250,43800,49050,54300
Suite Room,Ksh,35000,40400,45800,55200,66000,76800,69000,79500,90000,52500,57750,63000
