RESIDENT,BB,HB,FB
GARDENROOMS,"SINGLE-KSH.11,500 DOUBLE-KSH.12,000","SINGLE-KSH.13,000 DOUBLE-KSH.15,000","SINGLE-KSH.15,000 DOUBLE-KSH.18,000"
JACCUZI ROOMS,"SINGLE-KSH,12,600 DOUBLE-KSH.16,000","SINGLE-KSH.14,000 DOUBLE-KSH.19,000","SINGLE-KSH.16,000 DOUBLE-KSH.22,OOO"
BATHTUB ROOMS,"SINGLE-KSH.12,000 DOUBLE-KSH.15,000","SINGLE-KSH.13,500 DOUBLE-KSH.18,000","SINGLE-KSH.15,000 DOUBLE-KSH.21,000"
NONRESIDENT,USD,USD,USD
DELUXE SINGLE,80,110,130
DELUXE DOUBLE,120,160,180
