RESIDENT,BB,HB,FB
GARDENROOMS,"SINGLE-KSH.15,000 DOUBLE-KSH.17,000","SINGLE-KSH.16,500 DOUBLE-KSH.20,000","SINGLE-KSH.18,000 DOUBLE-KSH.23000"
JACCUZI ROOMS,"SINGLE-KSH.17,000 DOUBLE-KSH.20,000","SINGLE-KSH.18,500 DOUBLE-KSH.23,000","SINGLE-KSH.20,000 DOUBLE-KSH.26,000"
BATHTUB ROOMS,"SINGLE-KSH.16,000 DOUBLE-KSH.19,000","SINGLE-KSH.17500 DOUBLE-KSH.22,000","SINGLE-KSH.19,000 DOUBLE-KSH.25,000"
SLEEPING WARRIORS,"SINGLE-KSH.17,000 DOUBLE-KSH.20,000","SINGLE-KSH.18,500 DOUBLE-KSH.23,000","SINGLE-KSH.20,000 DOUBLE-KSH.26,000"
NONRESIDENT,USD,USD,USD
DELUXE SINGLE,110,130,150
DELUX DOUBLE,140,160,180
