Conference rate,
" Single occupancy- Kshs. 13,500  Double occupancy- Kshs. 16,000  Full Day Conference - Kshs.3,500  Half Day Conference - Kshs.3,000  Day Team Building ---- Kshs.3,000",Non Residence Breakfast -USD 15 Lunch -----USD 25 Dinner-----USD 25
"Meals  Breakfast- Kshs. 1,500   Lunch- Kshs.2500   Dinner- Kshs.2500   Tea/Coffee/snacks- Kshs.1,000   Picnic lunch Kshs. 2,000 ","Swimming:  Adults-Ksh.1,000   Child-Ksh. 500 "
