Man Eaters Camp.High Season,Single.,Per Person Sharing.,Child Sharing.50% of adult rate,Child In Own Tent.75% of adult rate
Full Board,111,85,43,64
Half Board,101,75,38,57
Bed &Breakfast,96,70,35,53
