Man Eaters Camp.Low Season,Single.,Per Person Sharing.,Child Sharing.50% of adult rate,Child In Own Tent.75% of adult rate
Full Board,98,75,38,57
Half Board,88,65,33,49
Bed &Breakfast,83,60,30,45
