PERIOD,SINGLE US$,DOUBLE US$,TRIPLE US$,FAMILY TENT US$,FAMILY COTTAGE US$,CHILD UNDER 12YRS
5 th Jan 2026 To 31 st March 2026,180,250,280,500,600,100
1 st April 2026 To 30 th June 2026,185,250,280,500,600,100
1 st July 2026 To 31 Aug 2026,250,320,350,640,690,120
1 st Sept 2026 To 19 th Dec 2026,250,320,350,640,690,120
20 th Dec 2026 To 4 th Jan 2027,250,320,350,640,690,120
