package,Full board,Game package
Price per person per night (based on 2pax sharing) $,125 per person per night $ 245 per person per night,
Dates valid: 15 October 2024- 15 December 2024,15 October 2024 - 15 December,2024
Single occupant pays:,$188 per person per night,$ 368 per person per night
3 RD PERSON SHARING PAYS:,$ 90 per person per night,$175 per night
PRICE INCLUDES:,"Bed, Breakfast, Lunch, Dinner WIFI in public areas All Kenyan tax and levies","Bed, Breakfast, Lunch, Dinner Water, Soft Drinks, Tea/Coffee WIFI in public areas Return Transfers to/from Serena Airstrip All Kenyan tax and levies"
EXPERIENCES INCLUDED:,2 ***,Shared Game Drives per day (scheduled) 1 Bush Breakfast (per stay) ) All activities are weather permitting**
policy 3 - 11 years: $ 63 per chd per night with adults),0-2 years: free (sharing 0-2 years: free 3 - 11 years: $123 per chd per night (sharing with adults,CHILD
Children in their ownroompay 75%of the person sharing rate,Children in their ownroompay 75%of the person sharing rate,
