Diani Sea Resort,2025,2025,2025,2025,2025,2025,2025/6
Diani Sea Resort,05.01- 30.04,01.05- 18.05,19.05- 20.06,21.06- 08.07,09.07- 30.09,01.10- 20.12,21.12- 04.01
Comfort Double Per Person,129$,105$,CLOSED,105$,123$,137$,201$
Comfort Single Per Person,180$,147$,CLOSED,147$,171$,191$,282$
