Diani Sea Lodge.Diani Sea Lodge,2025.05.01-27.04,2025.28.04-23.05,2025.01.05-08.07,2025.09.07-30.09,2025.01.10-20.12,2025/6.21.12- 04.01
Comfort Double Per Person,122$,CLOSED,96$,116$,128$,193$
Comfort Single Per Person,170$,CLOSED,134$,162$,179$,270$
