ROOMCATEGORY.MEAL PLAN,STANDARD ROOM GARDEN FACING.SINGLE,STANDARD ROOM GARDEN FACING.DOUBLE,DELUXE ROOM PARTIAL SEA FACING.SINGLE,DELUXE ROOM PARTIAL SEA FACING.DOUBLE,SUPERIOR ROOM DIRECT SEA FACING.SINGLE,SUPERIOR ROOM DIRECT SEA FACING.DOUBLE
BED & BREAKFAST,"10,500","13,350","11,500","14,350","12,500","15,350"
HALF BOARD,"13,500","19,350","14,500","20,350","15,500","21,350"
FULL BOARD,"16,500","24,350","17,500","25,350","18,500","26,350"
ALL-INCLUSIVE SUPPLEMENT,"3,500","7,000","3,500","7,000","3,500","7,000"
,"2,500-child","2,500-child","2,500-child","2,500-child","2,500-child","2,500-child"
