Superior Rooms,Business Deluxe Rooms,Business Suite Rooms,Executive Suite
"Bed size options, King/ Queen/Twin","Bed Size Options, King /Queen Interconnecting Door Room Option (on request), Shower and Bath Tub, Laundry Service at a Fee.","King size bed Separate sitting room Interconnecting door room option (on request), shower and Bath tub","Bed Size Options, King /Queen 02 master en suite bedrooms sharing a sitting room area, Interconnecting Door Room Option (on request), Shower and Bath Tub, Laundry Service at a Fee."
• Shower Only • Telephone Service • Coffee/Tea Maker • Private Safe • Premium Bedding • Hair Dryer,• Telephone • Private Balcony • Coffee Maker • Private Safes • Free Newspaper • Premium Bedding • Hair Dryer • TV screen,• 2 Flat Satellite TV • Private Balcony • Telephone Service • Bathtub Oversized • Free Newspaper • Private Safe • Premium Bedding • Hair Dryer,• Telephone • Private Balcony • Coffee Maker • Private Safes • Free Newspaper • Premium Bedding • Hair Dryer • TV screen
