2025.,Nett (20%).High Season,Nett (20%).Low Season,Conservation Fees.
Adult,US$ 616,US$ 544,US$ 116
Teens (13-18 yrs),US$ 464,US$ 410,US$ 87
Child (4-12 yrs),US$ 308,US$ 272,US$ 58
