DOUBLE per person per night.Seasons,DOUBLE per person per night.MID 7 Jan - 31 March 15 June - 30th June,RACK - FULL BOARD 2025.LOW 1 April - 14 June,RACK - FULL BOARD 2025.GREEN 1 Nov - 22 Dec,RACK - FULL BOARD 2025.PEAK 1 July - 31 Oct 23 Dec - 6th Jan
"Standard (Tents 7, 8, 9)",288,202,254,371
"Superior (Tents 1,2,3,4,5,6)",349,271,331,451
Suite,370,282,347,490
