0,1,2,3,4
Seasons,MID 7 Jan - 31 March 15 June - 30th June,LOW 1 April - 14 June,GREEN 1 Nov - 22 Dec,PEAK 1 July - 31 Oct 23 Dec - 6th Jan
"Standard (Tents 7, 8, 9)",463,377,429,546
"Superior (Tents 1,2,3,4,5,6)",524,446,506,626
Suite,545,457,522,665
