ACTIVITIES PER DAY US$,ACTIVITIES PER DAY US$
Exclusive use of 4x4 vehicle full day (approx 6 hrs). Min. 2 pax - Max. 7 pax,Full Board - $450 Game Package - $300
Kandili Guide (Half Day) if client is on self drive,50
Kandili Guide (Full Day) if client is on self drive,100
Maasai Dancers,130
