LION IN THE SUN - RETREAT,Pax,7 th JAN - 28 th FEB AUG,7 th JAN - 28 th FEB AUG,1 st MAR - 31 st JUL 1 st SEP - 25 th DEC,1 st MAR - 31 st JUL 1 st SEP - 25 th DEC,PEAK 26 th Dec-6 th Jan,PEAK 26 th Dec-6 th Jan
DOUBLE STANDARD,2,KES,"34,000",KES,"25,000",KES,"62,000"
DOUBLE SUPERIOR,2,KES,"42,000",KES,"35,500",KES,"71,300"
SUITE,2,KES,"47,000",KES,"40,500",KES,"80,600"
MASTER SUITE,2,KES,"58,500",KES,"52,000",KES,"99,200"
BILLIONAIRE - RESORT,,,,,,,
1 BEDROOM APARTMENT,2,KES,"69,000",KES,"59,000",KES,"111,600"
2 BEDROOM APARTMENT,4,KES,"85,500",KES,"72,000",KES,"148,800"
3 BEDROOM APARTMENT,6,KES,"107,000",KES,"97,000",KES,"186,000"
4 BEDROOM APARTMENT,8,KES,"145,000",KES,"120,000",KES,"322,400"
