Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Christmas (20 th,Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).& New Year December - 5 th January),"Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Premium Season (July, August, September)","Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st - 19 th December)","Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st - 19 th December)"
Garden Villa,$770 2-4 PAX,Garden Villa,$720 2-4 PAX,$490 2-4 PAX
Garden Villa,$660 5-6 PAX,Garden Villa,$620 5-6 PAX,$435 5-6 PAX
