,DBL,SGL,Extra Adult,"Child 6-11,99"
01 APRIL - 30 JUNE,Kes 26.000,Kes 22.750,Kes 9.100,Kes 6.500
01 JULY - 20 DEC,Kes 36.000,Kes 31.500,Kes 12.600,Kes 9.000
