Duration,Single room (Usd),Double room (Usd)
HIGH SEASON 2 nd January to 31 st March 2025 1st July to 31 st October 2025 23 rd December 2023 to 1 st January 2026,312,438
LOW SEASON 1 st April to 30 th June 2025 1 st November to 22 nd December 2025,260,352
ONE BEDROOM SUITE (HONEYMOON SUITE) 2 nd January 2025 to 1 st January 2026,380,490
