WATERHOLE VIEW ROOMS,WATERHOLE VIEW ROOMS,HIGH SEASON 02 Jan 2025 - 31 Mar 2025 & 01 July 2025 - 22 Dec 2025,HIGH SEASON 02 Jan 2025 - 31 Mar 2025 & 01 July 2025 - 22 Dec 2025,GREEN SEASON (Excluding Easter Holidays) 01 April 2025 - 30 June 2025,GREEN SEASON (Excluding Easter Holidays) 01 April 2025 - 30 June 2025
WATERHOLE VIEW ROOMS,WATERHOLE VIEW ROOMS,One Night Package,Extra Night Package,One Night Package,Extra Night Package
Single Lodge Room,Per Solo Traveller,"KES 30,900","KES 24,900","KES 28,650","KES 22,650"
Double Lodge Room,Per Person Sharing,"KES 24,600","KES 18,600","KES 22,350","KES 16,350"
