PROPERTY,PER ADULT SHARING PER NIGHT,PER ADULT SHARING PER NIGHT,SINGLE ROOM PER NIGHT,SINGLE ROOM PER NIGHT,INCLUDED,EXCLUDED
SATAO CAMP (TSAVO EAST),STANDARD,SUITE,STANDARD,SUITE,,Park Fees To be paid Directly to KWS
PEAK SEASON,213,281,336,404,Full board accommodation only Bottled water in rooms only,All drinks & Laundry
HIGH SEASON,191,251,302,374,,Game drives (US$ 40 per person per game drive)
LOW SEASON,128,162,128,162,,Satao Airstrip Transfers (US$ 30 each way per person) Laundry Bush Sundowner (US$ 40 Per Person)
