Adult sharing per person,Child sharing 3-11 years,Single Occupancy,Adult sharing per person,Child sharing 3-11 years,Single Occupancy
"KES 19,000","Kes 9,500","Kes 25,000","KES 17,100","Kes 8,550","Kes 22,500"
"KES 1,000",Kes 500,"Kes 1,000","KES 1,000",Kes 500,"Kes 1,000"
"KES 20,000","Kes 10,000","Kes 26,000","KES 18,100","Kes 9,050","Kes 23,500"
