,RECOMMENDED SELLING PRICE,TRADE RATES / PREFERENTIALS
Olerai House,"Kes 150,000","Kes 135,000"
The Dairy - 3 bedrooms,"Kes 69,000","Kes 62,100"
The Studio - 2 bedrooms,"Kes 48,000","Kes 43,200"
Tinga Tinga - 2 bedrooms,"Kes. 36,000","Kes. 32,400"
