,16ThJun-30ThSep 20ThDec-5ThJan2024,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,"37,100","27,300","20,300"
CHILDREN SHARING (5-11)YRS,"18,550","13,650","10,150"
FAMILY SUITES (04 PAX),"111,300","81,900","60,900"
SINGLE OCCUPANCY,"44,100","32,400","24,100"
