,16ThJun-30ThSep 20ThDec-5ThJan2024.PEAK,6ThJan-15ThApr 1stOct-7ThNov.HIGH,16ThApr-15ThJun 8ThNov-19ThDec.LOW
PER PERSON SHARING,"52,500","45,500","31,500"
CHILDREN SHARING (5-11)YRS,"26,250","22,750","15,750"
FAMILY SUITES (04 PAX),"210,000","182,000","126,000"
SINGLE OCCUPANCY,"62,400","54,100","37,400"
