0,1,2
LOW SEASON,MID SEASON,HIGH SEASON
01April - 31May,03.Jan-31March,01July - 30September
,01 June - 30 June,19 Dec. - 02 Jan '2 6
,01Oct-31October,
,01 Nov - 18 December,
