Room Categories,Regular Season,Festive Season 25Dec - 5 Jan Min stay 7 Nights,Regular Season,Festive Season 25Dec - 5 Jan Min stay 5 nignts,Max Occ
Studio 1 pax Studio 2 Pax,80 $ 100 $,120 $ 150 $,9000 kes 12000 kes,15000 kes 19000 kes,2
Apartment 2 pax Extra pax,130 $ 20 $,290 $ 40 $,15000 kes 3000 kes,35000 kes 6000 kes,5
