SEASON,RESIDENTS RATE (KSH)
2nd Jan - 31st Mar,"26,000"
1st Apr - 30th Apr,"23,500"
1st Jun - 30th Jun,"26,000"
1st Jul - 31st Aug,"31,000"
1st Sep - 31st Oct,"27,400"
1st Nov - 22nd Dec,"26,000"
