0,1,2
>,Bush dinner (per person),$50
>,Champagne breakfast (per person),$50
>,Sundowner at Observation Hill (per person),$55
>,Special Lunch (per person),$40
>,Special Dinner (per person),$50
>,French Champagne (per bottle),$330
>,Video package,$800
>,Background Guitar (per day),$400
>,Photography (36 exposure 4x6),$650
