Borana Lodge 2025 Inclusive Resident Rate*.,Borana Lodge 2025 Inclusive Resident Rate*.Adult Inclusive Rate,Borana Lodge 2025 Inclusive Resident Rate*.Single Inclusive Rate,Borana Lodge 2025 Inclusive Resident Rate*.Child Inclusive Rate
Peak,"54,000 /-","66,000 /-","27,000 /-"
Standard,"37,000 /-","47,000 /-","18,500 /-"
