Sales Margin.,Sales Margin.Adult Inclusive Rate,Sales Margin.Single Inclusive Rate,Sales Margin.Child Inclusive Rate
Peak,"4,100 /-","5,000 /-","2,000 /-"
Standard,"2,800 /-","3,500 /-","1,400 /-"
