,1 Adult,2 Adults,3 Adults,2 Adults & 1 child,1 Adult & 1 Child,1 Adult & 2 children
Breakfast,"42,173","68,040","81,758","74,115","48,248","54,323"
Half Board,"49,463","82,620","103,628","94,365","61,208","72,953"
Full Board,"55,538","94,770","115,778","109,553","67,283","85,103"
