,3 Adults,4 Adults,5 Adults,6 Adults,7 Adult,8 Adults
Breakfast,"145,733","147,913","176,371","189,338","207,239","219,861"
Half Board,"158,126","164,437","197,026","214,124","236,156","252,909"
Full Board,"168,453","178,207","214,238","234,779","260,253","280,449"
