,3 Adults,4 Adults,5 Adults,6 Adults,7 Adult,8 Adults
Breakfast,"99,833","102,242","122,094","131,618","144,470","153,765"
Half Board,"113,258","120,143","144,356","158,355","175,682","189,452"
Full Board,"124,389","134,946","162,945","180,731","201,731","219,288"
