,3 Adults,4 Adults,5 Adults,6 Adults,7 Adult,8 Adults
Breakfast,"75,047","77,456","87,210","97,193","105,570","113,603"
Half Board,"88,472","95,357","102,701","123,930","136,782","149,290"
Full Board,"99,603","110,160","128,176","146,192","162,830","179,125"
