0,1,2,3,4,5
SEASON,DATEBAND,MEAL PLAN,FIRST NIGHT,EXTRA NIGHTS,SRS
HIGH SEASON,2/1/2025-31/3/2025,GP,265,225,50
LOWSEASON,1/4/2025-31/5/2025,GP,250,210,50
PEAK SEASON,1/6/2025 -31/10/2025,GP,289,249,50
HIGH SEASON,1/11/2025-19/12/2025,GP,265,225,50
PEAK SEASON,20/12/2025 -1/1/2026,GP,290,285,50
