,BB,HB,FB
Single,"39,000","45,000","51,000"
Double,"53,000","65,000","72,000"
Children inOwnRoom,"29,250","34,250","39,250"
Children (6-11yrs) -,"10,000","14,000","17,000"
sharing with Adult Additional Bed,"18,000","24,000","30,000"
