,BB,HB,FB
Single,"29,000","35,000","40,000"
Double,"43,000","55,000","67,000"
Children inOwnRoom,"21,750","27,750","32,750"
Children (6-11yrs) -,"9,000","13,000","16,000"
Additional Bed,"18,000","24,000","30,000"
