,BB,HB,FB
Single,"28,160","31,160","34,160"
Double,"35,200","42,000","48,000"
Children inOwnRoom,"21,120","31,200","27,375"
Children (6-11yrs) -,"4,000","7,000","10,000"
Additional Bed,"9,000","12,000","15,000"
