,BB,HB,FB
Single,"59,000","65,000","71,000"
Double,"73,000","79,000","85,000"
Children inOwnRoom,"44,250","50,250","56,250"
Children (6-11yrs) -,"14,000","19,000","25,000"
sharing with Adult Additional Bed,"20,000","26,000","32,000"
