Season,From,To,A.Bustani Garden,B.Pool Side,C.Junior Suite,D.Sea View,E.6 Bedroom Oasis Villa,
1,01.11.2025,20.12.2025,144,163,171,187,1949,Rooms subject to availability upon request
2,21.12.2025,27.12.2025,310,335,351,362,4017,Rooms subject to availability upon request
3,28.12.2025,07.01.2026,401,436,457,471,5223,Rooms subject to availability upon request
4,08.01.2026,28.02.2026,172,192,201,218,2308,Rooms subject to availability upon request
5,01.03.2026,31.03.2026,144,163,171,187,1949,Rooms subject to availability upon request
6,01.04.2026,30.06.2026,123,144,151,168,1721,Rooms subject to availability upon request
7,01.07.2026,31.10.2026,144,163,171,187,1949,Rooms subject to availability upon request
