0,1,2,3
From,To,To be paid in full,
01.11.2025,20.12.2025,At least 30 days before check-in,
21.12.2025,07.01.2026,Within 15.10.2025,"If terms of payment are not respected, the Hotel has the right to cancel the booking. The Tour Operator can not deduct any Last minute bookings need to be paid in full"
08.01.2026,31.10.2026,At least 30 days before check-in,amount without prior authorization from the Hotel.
