0,1
HONEYMOONAMENITIES,"Flowers decoration, fruit basket and bottle of wine in the room upon arrival, 20% discount at the Spa Wedding certificate is required. Valid within 6 months from wedding date. Valid for stay with minimum 4 nights"
BIRTHDAY AMENITIES,"On the day of celebration: flowers decoration in the room, table decoration at dinner and birthday cake"
ANNIVERSARY AMENITIES,"On the day of celebration: flowers decoration in the room, table decoration at dinner"
