HOTEL USD RACK RATES.Season,HOTEL USD RACK RATES.From,HOTEL USD RACK RATES.To,A.Bustani Garden,B.Pool Side,C.Junior Suite,D.Sea,E.View 6 Bedroom Oasis Villa
1,01.11.2025,20.12.2025,220,250,274,288,3000
2,21.12.2025,27.12.2025,476,514,530,556,6168
3,28.12.2025,07.01.2026,618,670,690,760,8040
4,08.01.2026,28.02.2026,264,296,320,336,3552
5,01.03.2026,31.03.2026,220,250,274,288,3000
6,01.04.2026,30.06.2026,190,220,246,258,2640
7,01.07.2026,31.10.2026,220,250,274,288,3000
