Third adult bed (above 12 years),30%,According to max occupancy
"Children under the age of 2 (1,99 years)",Free,Baby cot possible on request
"1 st Child between the age of 2 and 12 (11,99 years)",Free,According to max occupancy
"2 nd Child between the age of 2 and 12 (11,99 years)",50%,According to max occupancy
