includes.,BREAKFAST.DELUXE GARDEN ROOMS,* LUNCH.DELUXE GARDEN SUITES,* Afternoon TEA.PREMIUM GARDEN ROOMS,* Afternoon TEA.PREMIUM GARDEN SUITES SUITES,* DINNER.LUXURY OCEAN FRONT ROOMS,* DINNER.GRAND OCEAN FRONT SEASEA SUITES
04 Jan - 23 Dec,$ 115,$ 130,$ 120,$ 140,$ 145,$ 180
