PERIOD,SINGLE KSH,DOUBLE KSH,TRIPLE KSH,FAMILY TENT KSH,FAMILY COTTAGE,CHILDREN UNDER 12 YRS
5 th Jan To 31 st March,"18,562","24,750","30,937","50,625","67,500","10,100"
1 st April To 30 th June,"18,562","24,750","28,125","50,625","67,500","10,100"
1 st July To 31 Aug,"24,750","30,937","37,125","56,250","73,125","12,500"
1 st Sept To 19 th Dec,"24,750","30,937","37,125","56,250","73,125","12,500"
20 th Dec To 4 th Jan,"24,750","30,937","37,125","56,250","73,125","12,500"
