Room Category,4 Jan - 17.AI,April 25.HB,Easter 18 April- 21 April.AI,25 22 AI.HB,April - 19 Dec 25.HB,Christmas Season 20 Dec - 23 Dec 25.AI,Christmas Season 24 Dec - 3 Jan 26.AI
Club,"12,600","12,200","13,600","13,200 12,600","12,200","16,200","23,600"
Lamu,"13,600","13,200","14,600","14,200 13,600","13,200","17,200","24,600"
Ocean Front,"15,100","14,700","16,100","15,700 15,100","14,700","18,700","26,100"
Junior Suite,"16,600","16,200","17,600","17,200 16,600","16,200","20,200","27,600"
