PERIOD.,SINGLE.CLUB,SINGLE.DELUXE,DOUBLE.CLUB,DOUBLE.DELUXE,TRIPLE.CLUB,TRIPLE.DELUXE,CHILD UNDER 12YRS.CLUB,CHILD UNDER 12YRS.DELUXE
5 TH JAN 2025 To 31 ST MAR2025,"26,000","21,000","42,000","32,000","58,000","44,000","10,500","8,000"
1 ST APR 2025 To 31 ST MAY 2025,"23,500","18,500","36,500","26,500","50,000","36,500",9125,"6,625"
1 ST JUNE 2025 To 31 ST OCT 2025,"37,500","26,500","60,000","38,000","82,500","52,000","15,000",9500
1 ST NOV 2025 To 20 TH DEC 2025,"26,000","21,000","42,000","32,000","58,000","44,000","10,500","8,000"
21 ST DEC 2025 To 4 Th JAN 2026,"37,500","26,500","60,000","38,000","82,500","52,000","15,000","9,500"
