"Supplements, Reductions, Extras (per person)","Supplements, Reductions, Extras (per person)","Supplements, Reductions, Extras (per person)","Supplements, Reductions, Extras (per person)"
Bed&Breakfast reduction on HBrate,-11,Extra Breakfast,11
SGR-Station Transfer (one way),21,Extra Dinner,17
Airport Transfer (one way),17,,
Children Policy,Children Policy,Children Policy,Children Policy
Infant (0 - 6 years):,free of charge,Children (7 - 12 years) in a room with adult:,23
