ROOMCATEGORY.MEAL PLAN,STANDARD ROOM GARDEN FACING.SINGLE,STANDARD ROOM GARDEN FACING.DOUBLE,DELUXE ROOM PARTIAL SEA FACING.SINGLE,DELUXE ROOM PARTIAL SEA FACING.DOUBLE,SUPERIOR ROOM DIRECT SEA FACING.SINGLE,SUPERIOR ROOM DIRECT SEA FACING.DOUBLE
BED & BREAKFAST,"20,200","28,150","26,200","34,150","28,900","41,150"
HALF BOARD,"22,150","32,200","28,150","38,200","32,150","45,200"
FULL BOARD,"26,500","41,200","32,500","47,200","36,500","54,200"
ALL-INCLUSIVE,"3,500","7,000","3,500","7,000","3,500","7,000"
SUPPLEMENT,"2,500-child","2,500-child","2,500-child","2,500-child","2,500-child","2,500-child"
