0,1,2
Vehicle hire to Naivasha Town (Drive and Drop),$200 per vehicle,
Vehicle hire to Green Park Golfing,$150 per vehicle,
Day trip to Lake Nakuru,$300 per vehicle,Excludes Guest entry fees. Includes Guide and Vehicle entry Fee
Vehicle hire to Nairobi (drive and drop one way),$300 per vehicle,
Vehicle hire - Day Trip to Aberdare,$500 per vehicle,Excludes Guest entry fees. Includes Guide and Vehicle entry Fee
Vehicle hire - Day Trip to Lake Bogoria,$500 per vehicle,Excludes Guest entry fees. Includes Guide and Vehicle entry Fee
Vehicle hire - Drop off Masai Mara,$500 per vehicle,Excludes Guest entry fees. Includes Guide and Vehicle entry Fee
