New Years - 31st Dec 2024.Man Eaters Camp,New Years - 31st Dec 2024.Single,New Years - 31st Dec 2024.Per Person Sharing,New Years - 31st Dec 2024.Child Sharing 50% of adult,New Years - 31st Dec 2024.Child In Own Tent 75% of adult
Full Board,"13,650","10,500","5,250","7,875"
Half Board,"11,650","8,500","4,250","6,375"
Bed &Breakfast,"10,650","7,500","3,750","5,625"
