Man Eaters Camp.Low Season,Single.,Per Person Sharing.,Child Sharing.50% of adult rate,Child In Own Tent.75% of adult rate
Full Board,"11,050","8,500","4,250","6,375"
Half Board,"9,050","6,500","3,250","4,875"
Bed &Breakfast,"8,050","5,500","2,750","4,125"
