"CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Man Eaters Camp","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Single","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Per Person Sharing","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Child Sharing 50% of adult","CHRISTMAS - 23rd, 24th, 25th, 26th Dec 2024.Child In Own Tent 75% of adult"
Full Board,"14,950","11,500","5,750","8,625"
Half Board,"12,950","9,500","4,750","7,125"
Bed &Breakfast,"11,950","8,500","4,250","6,375"
