Accommodation B&B Only TYPEOFROOM,LS,HS,TS
Deluxe Garden View Single,8000,9600,11500
Deluxe Sea View Single,9000,10800,13000
Deluxe Garden View Twin Room,12000,14400,21800
Deluxe Garden View Double,12000,14400,21800
Deluxe Sea View Double,14000,16800,24950
