23.12.2025 - 27.12.2025 / 28.12.2025 - 03.01.2026.Room Category,ALL INCLUSIVE RATES PER PERSON PER NIGHT.Double Occupancy,ALL INCLUSIVE RATES PER PERSON PER NIGHT.Single Occupancy,ALL INCLUSIVE RATES PER PERSON PER NIGHT.Extra Adult,"ALL INCLUSIVE RATES PER PERSON PER NIGHT.Child (6-11,99)"
BUSTANI GARDEN,88660,66495,31030,22165
POOL SIDE,95940,71955,33580,23985
JUNIOR SUITE,98800,74100,34580,24700
BAHARI POOL,105535,79150,36940,26385
SEA VIEW,108940,81705,38130,27235
4BEDROOMOASIS VILLA,709280,531960,248250,177320
6BEDROOMOASIS VILLA,1063920,797940,372375,265980
2 BEDROOMSUITE 23.12.2025 - 27.12.2025 28.12.2025 - 03.01.2026,585000 650000,438750 487500,204750 227500,146250 162500
