Accommodation.,Accommodation.,Rack USD PPPD.,Nett USD PPPD.,Conservation fee USD PPPD.ADULT,Conservation fee USD PPPD.CHILD
Luxury Tented Cottage,Double occupancy,"$1,250","$1,000",$125,$60
Luxury Tented Cottage,Single occupancy,"$1,500","$1,200",$125,$60
Luxury Tented Cottage,Child in third bed * Child: any person below 17 years old,$600,$480,,$60
Hemingway Simba Suite,Double occupancy,"$1,500","$1,200",$125,$60
Hemingway Simba Suite,Single occupancy,"$1,900","$1,520",$125,$60
Hemingway Simba Suite,Child in third bed * Child: any person below 17 years old,$750,$600,,$60
Guide,Guide,,$250,$60,
