ROOM CATEGORY,SINGLE OCCUPANCY,DOUBLE OCCUPANCY
CONFRENCE/ TEAM BUILDING,"HALF DAY 3,500","FULL DAY 4,000"
DELUXE CONFRENCE/ ACCOMMODATION,"15,500","24,500"
